name,owner,lat,lng
AutobahnraststätteLonetalWest,AutobahnraststätteLonetalWest,48.58409,10.175751
AutobahnA8,AutobahnA8,48.907993,8.77373
AutobahnraststätteAggertalNord,AutobahnraststätteAggertalNord,50.9516664,7.3180289
Autobahnraststätte(A5),Autobahnraststätte(A5),48.5628685,7.9591637
AutobahnA5,AutobahnA5,49.162973,8.570913
AutobahnA3,AutobahnA3,50.454372,7.873155
AutobahnA1RaststätteHochwaldOst,AutobahnA1RaststätteHochwaldOst,49.6907,6.8996
AutobahnA3,AutobahnA3,50.447712,7.850348
AugsburgerStr.187,AugsburgerStr.187,48.401173,10.022523
AufHerdenen2,AufHerdenen2,50.716,8.5517
Austr.14,Austr.14,49.20331,9.4913361
AutobahnA1,AutobahnA1,50.0684783,6.8803255
AufdemKies,AufdemKies,49.00186,9.14227
AnnonayStr.5,AnnonayStr.5,48.94681,9.43317
AnderMeil6,AnderMeil6,50.407682,8.073852
AufderBreit9B,AufderBreit9B,49.0169772254644,8.47095268259267
AufderLach8,AufderLach8,49.97929,7.93391
AnderStollenmühle39,AnderStollenmühle39,51.467163,11.279433
Andreas-Meyerstrasse44,Andreas-Meyerstrasse44,53.309232,10.049096
Argenstraße6-8,Argenstraße6-8,47.59769371,9.5970279
AufdemKlippeneck4/1,AufdemKlippeneck4/1,48.1088,8.73581
AmlingstadterStr.45,AmlingstadterStr.45,49.828358,10.990095
Ammerholz3,Ammerholz3,48.97292,12.065341
AmWindfeld8,AmWindfeld8,47.793573,11.838587
BAB5;AutobahnraststätteBruchsalWest,BAB5;AutobahnraststätteBruchsalWest,49.160998,8.567015
BAB5;AutobahnraststätteHardtwaldOst,BAB5;AutobahnraststätteHardtwaldOst,49.350934,8.632238
BAB45AutobahnraststätteLangen-BergheimWest,BAB45AutobahnraststätteLangen-BergheimWest,50.2484048,8.9939698
BAB1RaststätteHochwaldOst,BAB1RaststätteHochwaldOst,49.690444,6.896757
BABA81,BABA81,49.0443708,9.2620105
BABA81,BABA81,49.6267028,9.7281813
BABA81,BABA81,49.323989,9.412135
BABA81,BABA81,49.045116,9.266087
BABA81,BABA81,49.6216138,9.7309266
BABA7AutobahnraststätteLonetalOst,BABA7AutobahnraststätteLonetalOst,48.5840794,10.178753
BABA7,BABA7,48.98317,10.193441
BABA7,BABA7,48.5839663,10.1757226
BABA44,BABA44,50.9291834,6.3385009
BABA5,BABA5,48.753498,8.1317
BAB93RaststätteWaldnaabtalWest,BAB93RaststätteWaldnaabtalWest,49.839729,12.171929
BAB93RaststätteWaldnaabtalOst,BAB93RaststätteWaldnaabtalOst,49.837245,12.173278
BAB9Autobahn,BAB9Autobahn,50.4278,11.79556
BAB6;RaststätteKraichgau-Süd,BAB6;RaststätteKraichgau-Süd,49.2409723865224,8.87991140988803
BAB81;AutobahnraststätteNeckarburgOst,BAB81;AutobahnraststätteNeckarburgOst,48.206284,8.62751
BAB81;AutobahnraststätteJagsttalOst,BAB81;AutobahnraststätteJagsttalOst,49.323082,9.415751
BAB81;AutobahnraststätteSchönbuchOst,BAB81;AutobahnraststätteSchönbuchOst,48.616422,8.908525
BAB81;AutobahnraststätteSchönbuchWest,BAB81;AutobahnraststätteSchönbuchWest,48.614545,8.903146
BAB8;HoherRain1,BAB8;HoherRain1,48.693875,9.303797
BAB7;Gustav-Lauser-Weg,BAB7;Gustav-Lauser-Weg,48.1247,10.112164
BAB61;AutobahnraststätteMoseltalWest,BAB61;AutobahnraststätteMoseltalWest,50.317435,7.497926
BAB61;AutobahnraststätteMoselWest,BAB61;AutobahnraststätteMoselWest,50.26666,7.50968
BAB61;AutobahnraststätteMoseltalOst,BAB61;AutobahnraststätteMoseltalOst,50.316183,7.498801
BAB61AutobahnraststätteWonnegauOst,BAB61AutobahnraststätteWonnegauOst,49.6469951,8.2935441
BAB60AutobahnraststätteHeidenfahrtNord,BAB60AutobahnraststätteHeidenfahrtNord,50.001708,8.107958
BAB6;AutobahnraststätteAmHockenheimringOst,BAB6;AutobahnraststätteAmHockenheimringOst,49.316991,8.575853
BAB6;AutobahnraststätteHohenloheNord,BAB6;AutobahnraststätteHohenloheNord,49.207091,9.639063
BAB6;AutobahnraststätteAmHockenheimringWest,BAB6;AutobahnraststätteAmHockenheimringWest,49.320815,8.567804
BAB6;AutobahnraststätteHohenloheSüd,BAB6;AutobahnraststätteHohenloheSüd,49.205286,9.640005
BAB5;Lustgartenstr.5,BAB5;Lustgartenstr.5,47.594401,7.60372
BAB6AutobahnraststätteWaldmohr,BAB6AutobahnraststätteWaldmohr,49.3732485,7.3744289
Bahnhofstraße11,Bahnhofstraße11,48.7084,9.4631
Bahnhofstraße12,Bahnhofstraße12,49.346762,9.974752
Bahnhofstr.8,Bahnhofstr.8,49.341823,8.660026
Bahnhofstraße1,Bahnhofstraße1,48.2505,9.217217
Bahnhofstr.6A,Bahnhofstr.6A,49.984833,10.668524
Bahnhofstraße1,Bahnhofstraße1,49.292833,8.528565
Bahnhofstraße1,Bahnhofstraße1,49.320104,8.868043
